Product_ID,SKU,Product_Name,Category,Subcategory,Brand,Manufacturer,Unit,Unit_Cost,Reorder_Level,Safety_Stock,Shelf_Life_Months,Storage_Type,Critical_Item,Disposable
P0031,SKU-00031,Latex Gloves,PPE,Gloves,Medline,Medline,Box,348.34,23,72,24,Room Temperature,No,Yes
P0032,SKU-00032,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,16.78,92,10,36,Room Temperature,No,Yes
P0033,SKU-00033,Latex Gloves,PPE,Gloves,Medline,Medline,Box,522.32,176,82,36,Room Temperature,No,Yes
P0034,SKU-00034,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,19.3,136,97,12,Room Temperature,No,Yes
P0035,SKU-00035,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,401.67,122,60,60,Room Temperature,No,Yes
P0036,SKU-00036,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1281.52,35,34,60,Room Temperature,No,Yes
P0037,SKU-00037,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1784.67,61,24,60,Room Temperature,No,Yes
P0038,SKU-00038,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,14.01,20,82,12,Room Temperature,No,Yes
P0039,SKU-00039,Latex Gloves,PPE,Gloves,Medline,Medline,Box,598.8,177,13,36,Room Temperature,No,Yes
P0040,SKU-00040,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1674.33,58,91,60,Room Temperature,No,Yes
P0041,SKU-00041,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,116.44,141,25,36,Room Temperature,Yes,Yes
P0042,SKU-00042,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1648.94,142,71,60,Room Temperature,No,Yes
P0043,SKU-00043,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,46.87,107,43,12,Room Temperature,Yes,Yes
P0044,SKU-00044,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,220905.41,61,76,0,Equipment Room,No,No
P0045,SKU-00045,Surgical Mask,PPE,Masks,3M,3M,Box,402.61,57,98,36,Room Temperature,No,Yes
P0046,SKU-00046,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1688389.52,155,48,0,Equipment Room,Yes,No
P0047,SKU-00047,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,71.12,152,56,36,Pharmacy,No,Yes
P0048,SKU-00048,Latex Gloves,PPE,Gloves,Medline,Medline,Box,481.2,156,79,24,Room Temperature,No,Yes
P0049,SKU-00049,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,376.21,176,34,24,Room Temperature,No,Yes
P0050,SKU-00050,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,257.72,78,35,60,Room Temperature,No,Yes
P0051,SKU-00051,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1140616.4,27,13,0,Equipment Room,Yes,No
P0052,SKU-00052,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,275.74,69,98,36,Room Temperature,No,Yes
P0053,SKU-00053,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,19347726.15,134,54,0,Equipment Room,No,No
P0054,SKU-00054,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,6.21,78,70,12,Room Temperature,No,Yes
P0055,SKU-00055,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,40.26,179,88,60,Room Temperature,Yes,Yes
P0056,SKU-00056,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,5.04,184,20,36,Room Temperature,No,Yes
P0057,SKU-00057,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,18.21,71,71,60,Room Temperature,No,Yes
P0058,SKU-00058,Latex Gloves,PPE,Gloves,Medline,Medline,Box,532.05,42,60,36,Room Temperature,No,Yes
P0059,SKU-00059,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,148235.76,41,30,0,Equipment Room,No,No
P0060,SKU-00060,Latex Gloves,PPE,Gloves,Medline,Medline,Box,895.52,58,85,12,Room Temperature,No,Yes
P0061,SKU-00061,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,217105.34,57,88,0,Equipment Room,No,No
P0062,SKU-00062,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,16.92,188,54,60,Room Temperature,No,Yes
P0063,SKU-00063,Latex Gloves,PPE,Gloves,Medline,Medline,Box,606.63,25,11,24,Room Temperature,No,Yes
P0064,SKU-00064,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,586.9,154,27,12,Room Temperature,No,Yes
P0065,SKU-00065,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,346906.37,69,37,0,Equipment Room,Yes,No
P0066,SKU-00066,Surgical Mask,PPE,Masks,3M,3M,Box,425.92,148,40,36,Room Temperature,No,Yes
P0067,SKU-00067,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,413.9,159,63,36,Room Temperature,No,Yes
P0068,SKU-00068,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,7.62,137,94,36,Room Temperature,No,Yes
P0069,SKU-00069,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,17225705.49,152,63,0,Equipment Room,No,No
P0070,SKU-00070,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,23.35,156,29,24,Room Temperature,No,Yes
P0071,SKU-00071,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1163711.12,132,33,0,Equipment Room,Yes,No
P0072,SKU-00072,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,5058987.23,58,32,0,Equipment Room,No,No
P0073,SKU-00073,Latex Gloves,PPE,Gloves,Medline,Medline,Box,557.77,162,17,12,Room Temperature,No,Yes
P0074,SKU-00074,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,15.23,47,81,60,Room Temperature,No,Yes
P0075,SKU-00075,Surgical Mask,PPE,Masks,3M,3M,Box,424.25,30,22,36,Room Temperature,No,Yes
P0076,SKU-00076,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1087828.7,27,18,0,Equipment Room,Yes,No
P0077,SKU-00077,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,135354.32,149,87,0,Equipment Room,No,No
P0078,SKU-00078,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,759224.17,90,67,0,Equipment Room,Yes,No
P0079,SKU-00079,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1193271.07,142,74,0,Equipment Room,Yes,No
P0080,SKU-00080,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,61.95,163,35,36,Room Temperature,Yes,Yes
P0081,SKU-00081,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,13.95,51,60,60,Room Temperature,No,Yes
P0082,SKU-00082,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,133716.57,191,40,0,Equipment Room,No,No
P0083,SKU-00083,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,136817.78,191,48,0,Equipment Room,Yes,No
P0084,SKU-00084,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,205.06,184,94,24,Room Temperature,No,Yes
P0085,SKU-00085,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,7.14,139,38,24,Room Temperature,No,Yes
P0086,SKU-00086,Amoxicillin,Medicines,Antibiotics,Pfizer,Pfizer,Strip,288.13,144,30,60,Pharmacy,No,Yes
P0087,SKU-00087,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,69.11,200,65,24,Pharmacy,No,Yes
P0088,SKU-00088,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1024952.68,127,35,0,Equipment Room,Yes,No
P0089,SKU-00089,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,9.78,24,53,36,Room Temperature,No,Yes
P0090,SKU-00090,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1096272.0,200,12,0,Equipment Room,Yes,No
P0091,SKU-00091,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,196244.51,179,47,0,Equipment Room,Yes,No
P0092,SKU-00092,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1749007.13,48,39,0,Equipment Room,Yes,No
P0093,SKU-00093,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,884.06,30,33,36,Room Temperature,No,Yes
P0094,SKU-00094,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,100.46,193,43,60,Room Temperature,Yes,Yes
P0095,SKU-00095,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,154354.63,151,83,0,Equipment Room,Yes,No
P0096,SKU-00096,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,199070.97,42,45,0,Equipment Room,No,No
P0097,SKU-00097,Surgical Mask,PPE,Masks,3M,3M,Box,699.79,128,19,24,Room Temperature,No,Yes
P0098,SKU-00098,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,115.07,86,20,12,Room Temperature,Yes,Yes
P0099,SKU-00099,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,17843429.55,37,43,0,Equipment Room,No,No
P0100,SKU-00100,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,7.43,106,80,12,Room Temperature,No,Yes
P0101,SKU-00101,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,333133.94,88,89,0,Equipment Room,Yes,No
P0102,SKU-00102,Latex Gloves,PPE,Gloves,Medline,Medline,Box,278.08,48,30,24,Room Temperature,No,Yes
P0103,SKU-00103,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,44.03,99,90,24,Room Temperature,Yes,Yes
P0104,SKU-00104,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,82.49,94,67,24,Room Temperature,Yes,Yes
P0105,SKU-00105,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1373804.36,89,54,0,Equipment Room,Yes,No
P0106,SKU-00106,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,158.17,29,11,36,Room Temperature,No,Yes
P0107,SKU-00107,Surgical Mask,PPE,Masks,3M,3M,Box,666.54,151,70,24,Room Temperature,No,Yes
P0108,SKU-00108,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,76.08,188,93,12,Room Temperature,Yes,Yes
P0109,SKU-00109,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,270997.17,159,60,0,Equipment Room,Yes,No
P0110,SKU-00110,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,900117.96,75,39,0,Equipment Room,Yes,No
P0111,SKU-00111,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,7.98,123,54,24,Room Temperature,No,Yes
P0112,SKU-00112,Surgical Mask,PPE,Masks,3M,3M,Box,718.49,38,90,12,Room Temperature,No,Yes
P0113,SKU-00113,Amoxicillin,Medicines,Antibiotics,Pfizer,Pfizer,Strip,269.96,61,17,60,Pharmacy,No,Yes
P0114,SKU-00114,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1465.23,149,95,60,Room Temperature,No,Yes
P0115,SKU-00115,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,87.9,31,68,36,Room Temperature,Yes,Yes
P0116,SKU-00116,Latex Gloves,PPE,Gloves,Medline,Medline,Box,352.4,20,43,60,Room Temperature,No,Yes
P0117,SKU-00117,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,19.43,82,14,36,Room Temperature,No,Yes
P0118,SKU-00118,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,57.43,20,52,24,Room Temperature,Yes,Yes
P0119,SKU-00119,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,139294.83,91,74,0,Equipment Room,Yes,No
P0120,SKU-00120,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,28.06,43,43,12,Pharmacy,No,Yes
P0121,SKU-00121,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,6.8,170,15,60,Room Temperature,No,Yes
P0122,SKU-00122,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,125173.65,97,90,0,Equipment Room,Yes,No
P0123,SKU-00123,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,25.07,188,86,24,Room Temperature,Yes,Yes
P0124,SKU-00124,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,295791.61,146,29,0,Equipment Room,Yes,No
P0125,SKU-00125,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,97.93,31,75,24,Room Temperature,Yes,Yes
P0126,SKU-00126,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,42.9,154,74,24,Pharmacy,No,Yes
P0127,SKU-00127,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,17524063.9,24,97,0,Equipment Room,No,No
P0128,SKU-00128,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,16969507.81,194,98,0,Equipment Room,No,No
P0129,SKU-00129,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,29.95,30,27,12,Pharmacy,No,Yes
P0130,SKU-00130,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,38.45,116,67,12,Pharmacy,No,Yes
P0131,SKU-00131,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,566014.41,24,90,0,Equipment Room,Yes,No
P0132,SKU-00132,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1384863.43,145,43,0,Equipment Room,Yes,No
P0133,SKU-00133,Surgical Mask,PPE,Masks,3M,3M,Box,528.47,148,78,12,Room Temperature,No,Yes
P0134,SKU-00134,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1459.3,141,42,12,Room Temperature,No,Yes
P0135,SKU-00135,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,183.5,80,36,36,Room Temperature,No,Yes
P0136,SKU-00136,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,64.39,146,58,60,Room Temperature,Yes,Yes
P0137,SKU-00137,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1279.01,31,88,36,Room Temperature,No,Yes
P0138,SKU-00138,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,56.78,173,28,12,Pharmacy,No,Yes
P0139,SKU-00139,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,8.81,179,82,36,Room Temperature,No,Yes
P0140,SKU-00140,Latex Gloves,PPE,Gloves,Medline,Medline,Box,258.1,144,44,12,Room Temperature,No,Yes
P0141,SKU-00141,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,21.47,192,72,24,Pharmacy,No,Yes
P0142,SKU-00142,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,96.71,138,69,36,Room Temperature,Yes,Yes
P0143,SKU-00143,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,210418.86,160,35,0,Equipment Room,No,No
P0144,SKU-00144,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,118.25,24,47,60,Room Temperature,Yes,Yes
P0145,SKU-00145,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,92998.92,149,67,0,Equipment Room,No,No
P0146,SKU-00146,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,70.95,39,84,24,Room Temperature,Yes,Yes
P0147,SKU-00147,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,941.74,112,26,36,Room Temperature,No,Yes
P0148,SKU-00148,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,17303255.16,150,45,0,Equipment Room,No,No
P0149,SKU-00149,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1503.34,147,72,24,Room Temperature,No,Yes
P0150,SKU-00150,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,125711.91,20,72,0,Equipment Room,Yes,No
P0151,SKU-00151,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,44.3,56,63,36,Pharmacy,No,Yes
P0152,SKU-00152,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,10.64,104,10,12,Room Temperature,No,Yes
P0153,SKU-00153,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,16.26,50,35,60,Room Temperature,No,Yes
P0154,SKU-00154,Amoxicillin,Medicines,Antibiotics,Pfizer,Pfizer,Strip,52.93,84,57,36,Pharmacy,No,Yes
P0155,SKU-00155,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1192.9,112,64,12,Room Temperature,No,Yes
P0156,SKU-00156,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,273.82,91,23,12,Room Temperature,No,Yes
P0157,SKU-00157,Surgical Mask,PPE,Masks,3M,3M,Box,717.34,182,29,36,Room Temperature,No,Yes
P0158,SKU-00158,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,78.26,150,50,60,Room Temperature,Yes,Yes
P0159,SKU-00159,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,66.39,27,90,60,Room Temperature,Yes,Yes
P0160,SKU-00160,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,330087.49,161,80,0,Equipment Room,Yes,No
P0161,SKU-00161,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,63.17,125,67,12,Room Temperature,Yes,Yes
P0162,SKU-00162,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,16290020.14,184,46,0,Equipment Room,No,No
P0163,SKU-00163,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,88326.07,160,26,0,Equipment Room,No,No
P0164,SKU-00164,Latex Gloves,PPE,Gloves,Medline,Medline,Box,556.92,92,48,36,Room Temperature,No,Yes
P0165,SKU-00165,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,99.12,123,93,36,Room Temperature,Yes,Yes
P0166,SKU-00166,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,38.05,50,31,60,Room Temperature,Yes,Yes
P0167,SKU-00167,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,25.51,148,73,24,Pharmacy,No,Yes
P0168,SKU-00168,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,786032.83,105,67,0,Equipment Room,Yes,No
P0169,SKU-00169,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,152107.09,69,41,0,Equipment Room,Yes,No
P0170,SKU-00170,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,974.7,101,40,12,Room Temperature,No,Yes
P0171,SKU-00171,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,8.88,25,62,24,Room Temperature,No,Yes
P0172,SKU-00172,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,215193.22,154,36,0,Equipment Room,Yes,No
P0173,SKU-00173,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,182155.16,35,73,0,Equipment Room,Yes,No
P0174,SKU-00174,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,85.94,52,97,36,Room Temperature,Yes,Yes
P0175,SKU-00175,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1187993.41,75,21,0,Equipment Room,Yes,No
P0176,SKU-00176,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,111.74,122,92,60,Room Temperature,Yes,Yes
P0177,SKU-00177,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,153412.24,99,12,0,Equipment Room,No,No
P0178,SKU-00178,Latex Gloves,PPE,Gloves,Medline,Medline,Box,270.96,170,72,60,Room Temperature,No,Yes
P0179,SKU-00179,Surgical Mask,PPE,Masks,3M,3M,Box,336.57,134,41,60,Room Temperature,No,Yes
P0180,SKU-00180,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,199.07,58,76,24,Room Temperature,No,Yes
P0181,SKU-00181,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,22.08,41,80,60,Pharmacy,No,Yes
P0182,SKU-00182,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,167.8,79,82,24,Room Temperature,No,Yes
P0183,SKU-00183,Surgical Mask,PPE,Masks,3M,3M,Box,622.75,52,90,36,Room Temperature,No,Yes
P0184,SKU-00184,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,82.26,198,24,60,Room Temperature,Yes,Yes
P0185,SKU-00185,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,870.35,119,43,24,Room Temperature,No,Yes
P0186,SKU-00186,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,67.43,22,78,12,Room Temperature,Yes,Yes
P0187,SKU-00187,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,119.71,100,92,36,Room Temperature,Yes,Yes
P0188,SKU-00188,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,22.68,154,40,60,Room Temperature,No,Yes
P0189,SKU-00189,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,821175.9,125,100,0,Equipment Room,Yes,No
P0190,SKU-00190,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,34.98,69,73,12,Pharmacy,No,Yes
P0191,SKU-00191,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,57.07,85,39,12,Pharmacy,No,Yes
P0192,SKU-00192,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,42.58,78,73,36,Pharmacy,No,Yes
P0193,SKU-00193,Surgical Mask,PPE,Masks,3M,3M,Box,647.91,112,97,60,Room Temperature,No,Yes
P0194,SKU-00194,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,165558.32,94,74,0,Equipment Room,Yes,No
P0195,SKU-00195,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1005.22,99,34,24,Room Temperature,No,Yes
P0196,SKU-00196,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,47.91,95,23,36,Room Temperature,Yes,Yes
P0197,SKU-00197,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,12436470.94,67,38,0,Equipment Room,No,No
P0198,SKU-00198,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,150894.94,190,17,0,Equipment Room,No,No
P0199,SKU-00199,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,7195745.81,120,16,0,Equipment Room,No,No
P0200,SKU-00200,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,21.42,126,16,24,Room Temperature,Yes,Yes
P0201,SKU-00201,Amoxicillin,Medicines,Antibiotics,Pfizer,Pfizer,Strip,65.03,135,50,60,Pharmacy,No,Yes
P0202,SKU-00202,Amoxicillin,Medicines,Antibiotics,Pfizer,Pfizer,Strip,78.3,62,52,12,Pharmacy,No,Yes
P0203,SKU-00203,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,31.13,28,49,60,Room Temperature,Yes,Yes
P0204,SKU-00204,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,62.15,104,66,36,Pharmacy,No,Yes
P0205,SKU-00205,Latex Gloves,PPE,Gloves,Medline,Medline,Box,320.82,91,20,12,Room Temperature,No,Yes
P0206,SKU-00206,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,11.3,163,36,12,Room Temperature,No,Yes
