Department_ID,Hospital_ID,Hospital_Name,Department_Name,Cost_Center,Floor,Bed_Capacity,Operating_Hours,Critical_Department,Department_Type
D0024,H002,MedCare Chennai,Orthopedics,CC1004,4,70,08:00-20:00,No,Clinical
D0025,H002,MedCare Chennai,Cardiology,CC1005,5,60,24x7,Yes,Clinical
D0026,H002,MedCare Chennai,Neurology,CC1006,6,50,24x7,Yes,Clinical
D0027,H002,MedCare Chennai,Radiology,CC1007,1,40,24x7,Yes,Clinical Support
D0028,H002,MedCare Chennai,Oncology,CC1008,5,55,08:00-20:00,Yes,Clinical
D0029,H002,MedCare Chennai,Pharmacy,CC1009,1,0,24x7,Yes,Clinical Support
D0030,H002,MedCare Chennai,Operating Theatre,CC1010,2,20,24x7,Yes,Clinical
D0031,H002,MedCare Chennai,Pediatrics,CC1011,3,65,24x7,No,Clinical
D0032,H002,MedCare Chennai,Gynecology,CC1012,4,60,24x7,No,Clinical
D0033,H002,MedCare Chennai,Nephrology,CC1013,5,45,24x7,Yes,Clinical
D0034,H002,MedCare Chennai,Laboratory,CC1014,1,0,24x7,Yes,Clinical Support
D0035,H002,MedCare Chennai,Dermatology,CC1015,2,30,09:00-18:00,No,Clinical
D0036,H002,MedCare Chennai,ENT,CC1016,3,25,09:00-18:00,No,Clinical
D0037,H002,MedCare Chennai,Pulmonology,CC1017,4,50,24x7,Yes,Clinical
D0038,H002,MedCare Chennai,Administration,CC1018,6,0,09:00-18:00,No,Non-Clinical
D0039,H002,MedCare Chennai,Procurement,CC1019,6,0,09:00-18:00,No,Non-Clinical
D0040,H002,MedCare Chennai,Maintenance,CC1020,-1,0,24x7,No,Non-Clinical
D0041,H003,MedCare Hyderabad,Emergency,CC1001,1,120,24x7,Yes,Clinical
D0042,H003,MedCare Hyderabad,ICU,CC1002,2,80,24x7,Yes,Clinical
D0043,H003,MedCare Hyderabad,General Ward,CC1003,3,250,24x7,No,Clinical
D0044,H003,MedCare Hyderabad,Orthopedics,CC1004,4,70,08:00-20:00,No,Clinical
D0045,H003,MedCare Hyderabad,Cardiology,CC1005,5,60,24x7,Yes,Clinical
D0046,H003,MedCare Hyderabad,Neurology,CC1006,6,50,24x7,Yes,Clinical
D0047,H003,MedCare Hyderabad,Radiology,CC1007,1,40,24x7,Yes,Clinical Support
D0048,H003,MedCare Hyderabad,Oncology,CC1008,5,55,08:00-20:00,Yes,Clinical
D0049,H003,MedCare Hyderabad,Pharmacy,CC1009,1,0,24x7,Yes,Clinical Support
D0050,H003,MedCare Hyderabad,Operating Theatre,CC1010,2,20,24x7,Yes,Clinical
D0051,H003,MedCare Hyderabad,Pediatrics,CC1011,3,65,24x7,No,Clinical
D0052,H003,MedCare Hyderabad,Gynecology,CC1012,4,60,24x7,No,Clinical
D0053,H003,MedCare Hyderabad,Nephrology,CC1013,5,45,24x7,Yes,Clinical
D0054,H003,MedCare Hyderabad,Laboratory,CC1014,1,0,24x7,Yes,Clinical Support
D0055,H003,MedCare Hyderabad,Dermatology,CC1015,2,30,09:00-18:00,No,Clinical
D0056,H003,MedCare Hyderabad,ENT,CC1016,3,25,09:00-18:00,No,Clinical
D0057,H003,MedCare Hyderabad,Pulmonology,CC1017,4,50,24x7,Yes,Clinical
D0058,H003,MedCare Hyderabad,Administration,CC1018,6,0,09:00-18:00,No,Non-Clinical
D0059,H003,MedCare Hyderabad,Procurement,CC1019,6,0,09:00-18:00,No,Non-Clinical
D0060,H003,MedCare Hyderabad,Maintenance,CC1020,-1,0,24x7,No,Non-Clinical
D0061,H004,MedCare Mumbai,Emergency,CC1001,1,120,24x7,Yes,Clinical
D0062,H004,MedCare Mumbai,ICU,CC1002,2,80,24x7,Yes,Clinical
D0063,H004,MedCare Mumbai,General Ward,CC1003,3,250,24x7,No,Clinical
D0064,H004,MedCare Mumbai,Orthopedics,CC1004,4,70,08:00-20:00,No,Clinical
D0065,H004,MedCare Mumbai,Cardiology,CC1005,5,60,24x7,Yes,Clinical
D0066,H004,MedCare Mumbai,Neurology,CC1006,6,50,24x7,Yes,Clinical
D0067,H004,MedCare Mumbai,Radiology,CC1007,1,40,24x7,Yes,Clinical Support
D0068,H004,MedCare Mumbai,Oncology,CC1008,5,55,08:00-20:00,Yes,Clinical
D0069,H004,MedCare Mumbai,Pharmacy,CC1009,1,0,24x7,Yes,Clinical Support
D0070,H004,MedCare Mumbai,Operating Theatre,CC1010,2,20,24x7,Yes,Clinical
D0071,H004,MedCare Mumbai,Pediatrics,CC1011,3,65,24x7,No,Clinical
D0072,H004,MedCare Mumbai,Gynecology,CC1012,4,60,24x7,No,Clinical
D0073,H004,MedCare Mumbai,Nephrology,CC1013,5,45,24x7,Yes,Clinical
D0074,H004,MedCare Mumbai,Laboratory,CC1014,1,0,24x7,Yes,Clinical Support
D0075,H004,MedCare Mumbai,Dermatology,CC1015,2,30,09:00-18:00,No,Clinical
D0076,H004,MedCare Mumbai,ENT,CC1016,3,25,09:00-18:00,No,Clinical
D0077,H004,MedCare Mumbai,Pulmonology,CC1017,4,50,24x7,Yes,Clinical
D0078,H004,MedCare Mumbai,Administration,CC1018,6,0,09:00-18:00,No,Non-Clinical
D0079,H004,MedCare Mumbai,Procurement,CC1019,6,0,09:00-18:00,No,Non-Clinical
D0080,H004,MedCare Mumbai,Maintenance,CC1020,-1,0,24x7,No,Non-Clinical
D0081,H005,MedCare Pune,Emergency,CC1001,1,120,24x7,Yes,Clinical
D0082,H005,MedCare Pune,ICU,CC1002,2,80,24x7,Yes,Clinical
D0083,H005,MedCare Pune,General Ward,CC1003,3,250,24x7,No,Clinical
D0084,H005,MedCare Pune,Orthopedics,CC1004,4,70,08:00-20:00,No,Clinical
D0085,H005,MedCare Pune,Cardiology,CC1005,5,60,24x7,Yes,Clinical
D0086,H005,MedCare Pune,Neurology,CC1006,6,50,24x7,Yes,Clinical
D0087,H005,MedCare Pune,Radiology,CC1007,1,40,24x7,Yes,Clinical Support
D0088,H005,MedCare Pune,Oncology,CC1008,5,55,08:00-20:00,Yes,Clinical
D0089,H005,MedCare Pune,Pharmacy,CC1009,1,0,24x7,Yes,Clinical Support
D0090,H005,MedCare Pune,Operating Theatre,CC1010,2,20,24x7,Yes,Clinical
D0091,H005,MedCare Pune,Pediatrics,CC1011,3,65,24x7,No,Clinical
D0092,H005,MedCare Pune,Gynecology,CC1012,4,60,24x7,No,Clinical
D0093,H005,MedCare Pune,Nephrology,CC1013,5,45,24x7,Yes,Clinical
D0094,H005,MedCare Pune,Laboratory,CC1014,1,0,24x7,Yes,Clinical Support
D0095,H005,MedCare Pune,Dermatology,CC1015,2,30,09:00-18:00,No,Clinical
D0096,H005,MedCare Pune,ENT,CC1016,3,25,09:00-18:00,No,Clinical
D0097,H005,MedCare Pune,Pulmonology,CC1017,4,50,24x7,Yes,Clinical
D0098,H005,MedCare Pune,Administration,CC1018,6,0,09:00-18:00,No,Non-Clinical
D0099,H005,MedCare Pune,Procurement,CC1019,6,0,09:00-18:00,No,Non-Clinical
D0100,H005,MedCare Pune,Maintenance,CC1020,-1,0,24x7,No,Non-Clinical
